student_name,"skills",years_of_experience,cgpa,projects,label
Aditya Patel,"IoT, MATLAB, Signal Processing",0.5,6.61,Robotics Arm,0
Rahul Naidu,"C Programming, PCB Design, MATLAB",2,5.95,IoT Weather Station,0
Vikram Gupta,"IoT, VLSI Design, Signal Processing",1.4,7.3,FPGA Based Design,0
Sai Kumar,"MATLAB, PCB Design, Verilog",1.5,5.3,FPGA Based Design,0
Krishna Verma,"MATLAB, VLSI Design, IoT",1.5,5.78,IoT Weather Station,0
Rahul Sharma,"VLSI Design, Signal Processing, C Programming",1.7,6.48,Smart Home Automation,0
Krishna Singh,"IoT, MATLAB, C Programming",1,5.16,Robotics Arm,0
Aditya Iyer,"VLSI Design, MATLAB, IoT",0.2,5.53,Wireless Communication Model,0
Vihaan Sharma,"Signal Processing, Verilog, VLSI Design",1.2,6.97,Wireless Communication Model,0
Arjun Reddy,"Signal Processing, C Programming, Verilog",1.6,7.37,Signal Analyzer,0
Rahul Sharma,"C Programming, VLSI Design, MATLAB",1,6.06,AI Based Fault Detection,0
Aarav Yadav,"C Programming, MATLAB, Signal Processing",1.6,6.15,Image Processing System,0
Sai Yadav,"Signal Processing, C Programming, Verilog",1,5.47,Smart Home Automation,0
Sai Kumar,"PCB Design, VLSI Design, Signal Processing",1.5,6.88,AI Based Fault Detection,0
Kiran Iyer,"PCB Design, C Programming, Signal Processing",0.2,5.74,IoT Weather Station,0
Vikram Sharma,"Signal Processing, IoT, MATLAB",1.4,5.86,FPGA Based Design,0
Kiran Patel,"C Programming, Verilog, MATLAB",1.1,5.1,Robotics Arm,0
Kiran Singh,"VLSI Design, C Programming, IoT",1.4,7.22,Robotics Arm,0
Rahul Iyer,"C Programming, MATLAB, VLSI Design",1.5,7.08,Smart Home Automation,0
Vikram Sharma,"VLSI Design, Signal Processing, PCB Design",1.7,5.49,FPGA Based Design,0
Sai Iyer,"MATLAB, VLSI Design, Signal Processing",1.6,5.46,Image Processing System,0
Rohan Verma,"IoT, VLSI Design, Verilog",0.4,5.97,Wireless Communication Model,0
Arjun Sharma,"C Programming, MATLAB, Signal Processing",0.1,5.99,Wireless Communication Model,0
Kiran Sharma,"IoT, C Programming, MATLAB",0.7,7.1,Robotics Arm,0
Vikram Reddy,"MATLAB, Signal Processing, IoT",1.8,6.07,Smart Home Automation,0
Rohan Kumar,"VLSI Design, PCB Design, IoT",1.4,5.93,FPGA Based Design,0
Rahul Verma,"C Programming, Verilog, PCB Design",0.9,7.28,AI Based Fault Detection,0
Vihaan Reddy,"PCB Design, Verilog, IoT",1.2,6.48,AI Based Fault Detection,0
Rohan Naidu,"MATLAB, VLSI Design, IoT",1.6,6.52,Signal Analyzer,0
Aditya Yadav,"MATLAB, C Programming, Signal Processing",1.8,5.46,FPGA Based Design,0
Sai Yadav,"Verilog, IoT, C Programming",0.4,7.02,AI Based Fault Detection,0
Rohan Gupta,"Verilog, C Programming, PCB Design",1.2,6.22,Signal Analyzer,0
Sai Kumar,"Verilog, VLSI Design, PCB Design",0.8,5.36,Signal Analyzer,0
Kiran Naidu,"Signal Processing, IoT, Verilog",1.3,5.48,Smart Home Automation,0
Aarav Naidu,"MATLAB, Verilog, C Programming",1.4,6.98,AI Based Fault Detection,0
Rahul Iyer,"Signal Processing, Verilog, PCB Design",0.7,7.13,IoT Weather Station,0
Arjun Iyer,"PCB Design, VLSI Design, Verilog",0.7,6.34,IoT Weather Station,0
Rohan Singh,"Signal Processing, VLSI Design, PCB Design",1.4,6.32,Robotics Arm,0
Aarav Yadav,"MATLAB, Signal Processing, C Programming",1.2,5.13,Wireless Communication Model,0
Vihaan Verma,"IoT, MATLAB, C Programming",0.6,5.18,FPGA Based Design,0
Sai Iyer,"PCB Design, Verilog, IoT",0.4,6.73,Smart Home Automation,0
Arjun Sharma,"VLSI Design, PCB Design, Signal Processing",1.4,6,AI Based Fault Detection,0
Aditya Yadav,"Signal Processing, IoT, MATLAB",1.5,6.52,AI Based Fault Detection,0
Sai Verma,"PCB Design, C Programming, MATLAB",1.7,6.69,AI Based Fault Detection,0
Rahul Singh,"PCB Design, Signal Processing, IoT",0.8,6.34,Wireless Communication Model,0
Vikram Reddy,"IoT, Verilog, VLSI Design",0.4,6.49,Image Processing System,0
Sai Singh,"IoT, PCB Design, VLSI Design",0.5,6.76,Image Processing System,0
Kiran Patel,"MATLAB, IoT, PCB Design",0.1,5.62,Image Processing System,0
Rohan Naidu,"Signal Processing, IoT, Verilog",0.5,7.31,Image Processing System,0
Krishna Naidu,"PCB Design, IoT, Verilog",2,5.77,Robotics Arm,0
Vihaan Iyer,"C Programming, VLSI Design, PCB Design",0.1,6.28,IoT Weather Station,0
Rohan Kumar,"C Programming, IoT, Signal Processing",1.1,7.28,FPGA Based Design,0
Rohan Iyer,"C Programming, Signal Processing, MATLAB",0.5,6.6,Image Processing System,0
Vihaan Patel,"PCB Design, MATLAB, Signal Processing",0,6.2,FPGA Based Design,0
Arjun Kumar,"Signal Processing, MATLAB, C Programming",0.3,6.66,Smart Home Automation,0
Sai Iyer,"Verilog, PCB Design, Signal Processing",1.1,6.24,IoT Weather Station,0
Aarav Patel,"Verilog, VLSI Design, IoT",0.9,6.6,FPGA Based Design,0
Aarav Gupta,"PCB Design, Signal Processing, IoT",0.6,6.92,IoT Weather Station,0
Sai Iyer,"VLSI Design, IoT, PCB Design",1.8,7.14,FPGA Based Design,0
Arjun Kumar,"VLSI Design, MATLAB, PCB Design",0.4,5.6,AI Based Fault Detection,0
Kiran Kumar,"C Programming, PCB Design, VLSI Design",1.5,5.77,FPGA Based Design,0
Rahul Yadav,"Signal Processing, MATLAB, PCB Design",1.7,5.39,IoT Weather Station,0
Krishna Yadav,"Verilog, C Programming, PCB Design",1.9,5.64,AI Based Fault Detection,0
Aditya Yadav,"C Programming, IoT, PCB Design",0.6,6.9,Smart Home Automation,0
Kiran Singh,"Signal Processing, MATLAB, C Programming",1.3,7.39,IoT Weather Station,0
Vihaan Naidu,"MATLAB, VLSI Design, IoT",0.4,5.47,Robotics Arm,0
Rahul Iyer,"IoT, Signal Processing, VLSI Design",0.1,6.48,AI Based Fault Detection,0
Vihaan Reddy,"VLSI Design, PCB Design, Verilog",1.1,7.1,Robotics Arm,0
Sai Sharma,"Signal Processing, IoT, VLSI Design",1.8,6.19,Signal Analyzer,0
Vikram Iyer,"VLSI Design, MATLAB, Signal Processing",1.8,5.11,AI Based Fault Detection,0
Sai Iyer,"MATLAB, Signal Processing, IoT",1.9,6.26,Image Processing System,0
Vikram Sharma,"Signal Processing, C Programming, VLSI Design",0.3,7.1,AI Based Fault Detection,0
Vihaan Verma,"Verilog, Signal Processing, PCB Design",0.7,7.02,AI Based Fault Detection,0
Rohan Patel,"C Programming, IoT, Verilog",1,6.54,Smart Home Automation,0
Vihaan Verma,"C Programming, Verilog, MATLAB",1,5.94,Image Processing System,0
Vikram Reddy,"C Programming, MATLAB, VLSI Design",1.3,7.23,Smart Home Automation,0
Vikram Naidu,"VLSI Design, PCB Design, IoT",1.9,7.31,Signal Analyzer,0
Vikram Gupta,"PCB Design, Verilog, VLSI Design",0.6,6.46,Wireless Communication Model,0
Rahul Sharma,"MATLAB, IoT, C Programming",1.3,6.21,FPGA Based Design,0
Rahul Iyer,"VLSI Design, C Programming, PCB Design",1.6,6.24,Signal Analyzer,0
Arjun Kumar,"PCB Design, IoT, Verilog",0.1,5.19,Robotics Arm,0
Rahul Iyer,"C Programming, MATLAB, IoT",2,5.05,IoT Weather Station,0
Vihaan Kumar,"VLSI Design, Verilog, C Programming",0.3,5.72,FPGA Based Design,0
Rohan Reddy,"Signal Processing, PCB Design, MATLAB",1.1,6.64,Robotics Arm,0
Rahul Gupta,"C Programming, IoT, Signal Processing",0.5,7.18,Image Processing System,0
Vikram Yadav,"Verilog, Signal Processing, MATLAB",1.8,5.37,Image Processing System,0
Arjun Reddy,"PCB Design, IoT, Signal Processing",1.2,6.26,Signal Analyzer,0
Vikram Singh,"VLSI Design, MATLAB, PCB Design",1.4,7.35,FPGA Based Design,0
Aditya Sharma,"VLSI Design, PCB Design, MATLAB",0.6,5.55,Wireless Communication Model,0
Sai Naidu,"Verilog, Signal Processing, PCB Design",1.7,5.02,AI Based Fault Detection,0
Aarav Sharma,"Signal Processing, C Programming, PCB Design",1,6.49,Signal Analyzer,1
Krishna Iyer,"PCB Design, Verilog, VLSI Design",1.6,6.2,Robotics Arm,0
Rohan Yadav,"PCB Design, VLSI Design, MATLAB",0.2,5.89,Wireless Communication Model,0
Krishna Patel,"IoT, MATLAB, VLSI Design",0.3,5.2,FPGA Based Design,0
Aditya Gupta,"MATLAB, C Programming, PCB Design",0.2,5.47,Image Processing System,0
Krishna Sharma,"MATLAB, VLSI Design, Signal Processing",1.5,5.48,AI Based Fault Detection,0
Rohan Naidu,"MATLAB, IoT, C Programming",1.9,6.91,AI Based Fault Detection,0
Vihaan Iyer,"MATLAB, Verilog, Signal Processing",1.2,7.01,Image Processing System,0
Kiran Patel,"VLSI Design, PCB Design, C Programming",1.3,7.03,IoT Weather Station,0
Arjun Iyer,"MATLAB, PCB Design, IoT",1.5,6.99,Smart Home Automation,0
Krishna Patel,"Verilog, Signal Processing, PCB Design",0.2,5.68,Robotics Arm,0
Aarav Gupta,"Verilog, PCB Design, IoT",1.2,5.28,Robotics Arm,0
Rahul Singh,"C Programming, IoT, PCB Design",1.8,7.25,FPGA Based Design,0
Aarav Reddy,"IoT, Verilog, C Programming",1.6,6.47,Signal Analyzer,1
Aditya Gupta,"IoT, Signal Processing, C Programming",0.3,6.69,IoT Weather Station,0
Arjun Verma,"Signal Processing, MATLAB, C Programming",0,6.09,Robotics Arm,0
Vikram Verma,"PCB Design, Signal Processing, Verilog",0.9,5.46,AI Based Fault Detection,0
Rahul Iyer,"VLSI Design, C Programming, MATLAB",1,7.27,FPGA Based Design,0
Aarav Singh,"IoT, PCB Design, Signal Processing",0.7,5.28,Signal Analyzer,0
Arjun Kumar,"VLSI Design, C Programming, PCB Design",1.2,5.59,Smart Home Automation,0
Rohan Verma,"Verilog, Signal Processing, IoT",1,6.36,Image Processing System,0
Kiran Reddy,"IoT, VLSI Design, Verilog",1.3,6.94,AI Based Fault Detection,0
Rahul Reddy,"PCB Design, IoT, Signal Processing",1.7,6.15,FPGA Based Design,0
Kiran Reddy,"C Programming, MATLAB, VLSI Design",1.1,7.32,FPGA Based Design,0
Krishna Kumar,"MATLAB, Signal Processing, Verilog",1.9,5.75,Signal Analyzer,0
Aditya Naidu,"Verilog, VLSI Design, IoT",0.1,5.64,AI Based Fault Detection,0
Rahul Yadav,"PCB Design, Signal Processing, Verilog",1.9,5.2,IoT Weather Station,0
Krishna Yadav,"Verilog, C Programming, Signal Processing",1.1,6.05,Robotics Arm,0
Krishna Patel,"Verilog, C Programming, Signal Processing",0.9,6.42,Wireless Communication Model,0
Vihaan Gupta,"Verilog, VLSI Design, C Programming",0.5,6.34,Wireless Communication Model,0
Vihaan Yadav,"C Programming, MATLAB, Verilog",0.4,7.24,Signal Analyzer,0
Aditya Singh,"IoT, PCB Design, Verilog",1.6,5.05,AI Based Fault Detection,0
Krishna Iyer,"PCB Design, IoT, Verilog",2,6.77,FPGA Based Design,0
Aditya Patel,"VLSI Design, MATLAB, Verilog",1.8,5.65,FPGA Based Design,0
Kiran Singh,"C Programming, Signal Processing, IoT",0,7.21,Robotics Arm,0
Rohan Patel,"C Programming, Signal Processing, MATLAB",0.4,7.3,Image Processing System,0
Krishna Yadav,"Signal Processing, IoT, Verilog",0.8,7.33,Image Processing System,0
Aarav Kumar,"PCB Design, IoT, Verilog",0.4,6.47,AI Based Fault Detection,0
Rahul Sharma,"PCB Design, Verilog, C Programming",0.5,7.34,Image Processing System,0
Rohan Sharma,"C Programming, Verilog, IoT",1.2,5.91,IoT Weather Station,0
Vihaan Verma,"MATLAB, VLSI Design, IoT",1.1,5.82,Smart Home Automation,0
Vihaan Patel,"VLSI Design, C Programming, IoT",0.6,7.16,FPGA Based Design,0
Aarav Verma,"MATLAB, Verilog, C Programming",1.4,6.04,Robotics Arm,0
Vihaan Reddy,"VLSI Design, PCB Design, Signal Processing",0.6,6.37,Wireless Communication Model,0
Sai Sharma,"Signal Processing, PCB Design, VLSI Design",0.7,7.15,Wireless Communication Model,0
Rahul Verma,"C Programming, IoT, MATLAB",0.2,5.36,Signal Analyzer,0
Vihaan Yadav,"C Programming, Signal Processing, PCB Design",1.7,5.83,FPGA Based Design,0
Kiran Kumar,"C Programming, Signal Processing, IoT",0.1,5.92,AI Based Fault Detection,0
Sai Naidu,"Verilog, PCB Design, C Programming",0.9,5.66,Robotics Arm,0
Vihaan Reddy,"Signal Processing, C Programming, MATLAB",0.8,6.28,Smart Home Automation,0
Sai Reddy,"Signal Processing, MATLAB, IoT",0,7.05,Smart Home Automation,0
Vikram Reddy,"VLSI Design, IoT, C Programming",0.5,5.99,IoT Weather Station,0
Rohan Gupta,"MATLAB, C Programming, VLSI Design",0.6,6.79,IoT Weather Station,0
Sai Kumar,"PCB Design, Signal Processing, MATLAB",1.7,6.74,Signal Analyzer,0
Vihaan Verma,"C Programming, Verilog, MATLAB",0.3,5.03,Robotics Arm,0
Aditya Iyer,"VLSI Design, PCB Design, Verilog",0.4,7.08,IoT Weather Station,0
Sai Kumar,"PCB Design, VLSI Design, C Programming",1.4,5.87,Signal Analyzer,0
Krishna Gupta,"Signal Processing, Verilog, C Programming",0.7,5.68,AI Based Fault Detection,0
Aditya Patel,"Signal Processing, C Programming, Verilog",1,5.38,IoT Weather Station,0
Rahul Kumar,"PCB Design, IoT, VLSI Design",1.4,5.15,Image Processing System,0
Arjun Naidu,"MATLAB, C Programming, Signal Processing",0.9,5.7,Wireless Communication Model,0
Krishna Singh,"Signal Processing, IoT, MATLAB",0.8,6.61,Robotics Arm,0
Aditya Yadav,"VLSI Design, IoT, Signal Processing",1.8,7.32,Signal Analyzer,1
Sai Iyer,"Signal Processing, VLSI Design, MATLAB",1.2,5.94,Smart Home Automation,0
Vihaan Gupta,"Verilog, VLSI Design, C Programming",1.5,6.17,AI Based Fault Detection,0
Rahul Gupta,"MATLAB, Verilog, VLSI Design",0.5,6.28,Smart Home Automation,0
Aditya Reddy,"Signal Processing, IoT, C Programming",0.4,5.11,Smart Home Automation,0
Vikram Gupta,"VLSI Design, IoT, MATLAB",1.8,6,AI Based Fault Detection,0
Kiran Singh,"Verilog, Signal Processing, IoT",1.2,6.83,Smart Home Automation,0
Aditya Sharma,"IoT, VLSI Design, PCB Design",0.1,6.04,Wireless Communication Model,0
Vihaan Gupta,"Signal Processing, C Programming, Verilog",1.7,5.39,Smart Home Automation,0
Sai Reddy,"PCB Design, C Programming, Signal Processing",0.5,5.67,IoT Weather Station,0
Rahul Gupta,"MATLAB, C Programming, Signal Processing",1.6,7.31,Signal Analyzer,0
Sai Gupta,"IoT, C Programming, VLSI Design",1.3,7.16,IoT Weather Station,0
Vihaan Iyer,"Verilog, PCB Design, C Programming",0.6,5.94,Signal Analyzer,0
Rohan Kumar,"MATLAB, PCB Design, Signal Processing",0.2,5.46,Wireless Communication Model,0
Vikram Naidu,"Verilog, MATLAB, C Programming",1.3,6.93,Robotics Arm,0
Aditya Sharma,"Signal Processing, PCB Design, Verilog",1.1,5.05,AI Based Fault Detection,0
Kiran Sharma,"IoT, Signal Processing, C Programming",0.7,6.43,FPGA Based Design,0
Rohan Patel,"Signal Processing, Verilog, VLSI Design",0.3,7.02,IoT Weather Station,0
Aditya Gupta,"Verilog, MATLAB, PCB Design",0.3,7.35,Image Processing System,0
Rohan Singh,"IoT, C Programming, Signal Processing",0.5,6.58,Signal Analyzer,0
Vihaan Kumar,"C Programming, MATLAB, Verilog",1,6.98,Signal Analyzer,0
Rohan Gupta,"Verilog, Signal Processing, IoT",0.6,6.38,AI Based Fault Detection,0
Vihaan Reddy,"PCB Design, MATLAB, IoT",0.1,5.13,Smart Home Automation,0
Rahul Naidu,"IoT, PCB Design, VLSI Design",1.4,5.65,AI Based Fault Detection,0
Rohan Reddy,"Verilog, Signal Processing, PCB Design",1,5.31,FPGA Based Design,0
Krishna Patel,"Signal Processing, IoT, VLSI Design",1.4,5.76,IoT Weather Station,0
Arjun Reddy,"MATLAB, Signal Processing, PCB Design",1.4,5.75,Robotics Arm,0
Vihaan Verma,"MATLAB, Verilog, VLSI Design",0.8,6.93,Wireless Communication Model,0
Sai Yadav,"PCB Design, Signal Processing, VLSI Design",1.4,7.37,IoT Weather Station,0
Rahul Singh,"VLSI Design, MATLAB, Verilog",0.6,5.01,AI Based Fault Detection,0
Kiran Iyer,"Verilog, MATLAB, Signal Processing",1.6,6.84,IoT Weather Station,0
Aarav Iyer,"VLSI Design, PCB Design, MATLAB",1.9,6.96,Image Processing System,0
Aditya Sharma,"PCB Design, Verilog, C Programming",0.7,5.67,Smart Home Automation,0
Krishna Singh,"PCB Design, VLSI Design, C Programming",1.4,7.13,Signal Analyzer,0
Aditya Yadav,"PCB Design, VLSI Design, Signal Processing",0.3,5.59,IoT Weather Station,0
Krishna Verma,"C Programming, VLSI Design, IoT",0.1,5.15,IoT Weather Station,0
Rohan Reddy,"Signal Processing, MATLAB, Verilog",2,5.87,FPGA Based Design,1
Rohan Yadav,"Verilog, PCB Design, VLSI Design",0.8,7.28,Robotics Arm,0
Rahul Reddy,"PCB Design, VLSI Design, MATLAB",1.2,6.42,AI Based Fault Detection,0
Vihaan Kumar,"VLSI Design, IoT, MATLAB",0.8,5.77,FPGA Based Design,0
Rohan Yadav,"PCB Design, Verilog, IoT",0.7,6.74,FPGA Based Design,0
Vihaan Reddy,"PCB Design, VLSI Design, Signal Processing",0.6,5.62,Robotics Arm,0
Aarav Iyer,"Signal Processing, IoT, C Programming",0.3,6.94,Image Processing System,0
Rahul Sharma,"PCB Design, VLSI Design, C Programming",1.1,5.57,Smart Home Automation,0
Rohan Singh,"IoT, C Programming, VLSI Design",1.2,6.08,Signal Analyzer,0
Sai Naidu,"C Programming, VLSI Design, IoT",0.2,6.23,Robotics Arm,0
Aditya Patel,"Signal Processing, PCB Design, MATLAB",1,6.89,Signal Analyzer,0
Sai Kumar,"Verilog, IoT, Signal Processing",1.1,5.83,IoT Weather Station,0
Rohan Iyer,"MATLAB, PCB Design, Verilog",0.9,5.32,IoT Weather Station,0
Aditya Iyer,"VLSI Design, IoT, C Programming",0.6,5.62,FPGA Based Design,0
Aditya Reddy,"MATLAB, Signal Processing, C Programming",1.5,6.58,Wireless Communication Model,0
Vikram Naidu,"MATLAB, IoT, PCB Design",1.2,5.97,Signal Analyzer,0
Aditya Patel,"PCB Design, VLSI Design, Verilog",0.1,6.4,Smart Home Automation,0
Krishna Gupta,"C Programming, Verilog, Signal Processing",0.9,6.31,Wireless Communication Model,0
Vihaan Patel,"MATLAB, PCB Design, Signal Processing",0.1,6.91,Wireless Communication Model,0
Sai Iyer,"Verilog, Signal Processing, IoT",0.4,7.26,Robotics Arm,0
Sai Naidu,"VLSI Design, Verilog, C Programming",1.7,5.99,Robotics Arm,0
Krishna Singh,"MATLAB, Verilog, C Programming",0.5,5.41,Signal Analyzer,0
Rohan Yadav,"MATLAB, IoT, C Programming",1.4,6.87,Wireless Communication Model,0
